Booth No,Village / Polling Station (English),Village / Polling Station (Punjabi),AAP Status,2022 Total Polled,2022 Winner,2022 Margin,2022 AAP Votes,2022 AAP %,2022 INC Votes,2022 INC %,2022 SAD Votes,2022 SAD %,2022 PLC/BJP Votes,2022 PLC/BJP %,2024 Total Polled,2024 Winner,2024 Margin,2024 AAP Votes,2024 AAP %,2024 INC Votes,2024 INC %,2024 BJP Votes,2024 BJP %,2024 SAD Votes,2024 SAD %,AAP Vote Shift (+/-),AAP Swing % (+/-),INC Swing % (+/-),BJP Swing % (+/-),SAD Swing % (+/-),Turnout Diff,Turnout Diff %
11,Booth 11 - Amritsar South,ਬੂਥ 11 - ਅੰਮ੍ਰਿਤਸਰ ਦੱਖਣੀ,Lost in 2024 (to BJP),492,AAP,174,262,53.25,88,17.89,83,16.87,45,9.15,408,BJP,94,72,17.65,107,26.23,201,49.26,12,2.94,-190,-35.6,8.34,40.11,-13.93,-84,-17.07
12,Booth 12 - Amritsar South,ਬੂਥ 12 - ਅੰਮ੍ਰਿਤਸਰ ਦੱਖਣੀ,Lost in 2024 (to BJP),613,AAP,152,293,47.8,141,23.0,138,22.51,28,4.57,514,BJP,120,112,21.79,118,22.96,238,46.3,10,1.95,-181,-26.01,-0.04,41.73,-20.56,-99,-16.15
13,Booth 13 - Amritsar South,ਬੂਥ 13 - ਅੰਮ੍ਰਿਤਸਰ ਦੱਖਣੀ,Lost in 2024 (to BJP),591,AAP,184,316,53.47,107,18.1,132,22.34,24,4.06,349,BJP,85,59,16.91,98,28.08,183,52.44,5,1.43,-257,-36.56,9.98,48.38,-20.91,-242,-40.95
14,Booth 14 - Amritsar South,ਬੂਥ 14 - ਅੰਮ੍ਰਿਤਸਰ ਦੱਖਣੀ,Lost in 2024 (to BJP),614,AAP,153,288,46.91,135,21.99,135,21.99,35,5.7,462,BJP,43,77,16.67,140,30.3,183,39.61,43,9.31,-211,-30.24,8.31,33.91,-12.68,-152,-24.76
15,Booth 15 - Amritsar South,ਬੂਥ 15 - ਅੰਮ੍ਰਿਤਸਰ ਦੱਖਣੀ,Lost in 2024 (to INC),639,AAP,92,269,42.1,167,26.13,177,27.7,13,2.03,534,INC,73,63,11.8,243,45.51,170,31.84,42,7.87,-206,-30.3,19.38,29.81,-19.83,-105,-16.43
16,Booth 16 - Amritsar South,ਬੂਥ 16 - ਅੰਮ੍ਰਿਤਸਰ ਦੱਖਣੀ,Weak Booth (< 20% Share),617,SAD,41,148,23.99,195,31.6,236,38.25,6,0.97,429,INC,59,41,9.56,163,38.0,51,11.89,104,24.24,-107,-14.43,6.4,10.92,-14.01,-188,-30.47
17,"Abadi Radha Krishan Colony, Nagar Nigam Amritsar, Ward No. 50 + Abadi Quarters, Mulle Chak, Nagar Nigam Amritsar, Ward No. 50","ਆਬਾਦੀ ਰਾਧਾ ਕ੍ਰਿਸ਼ਨ ਕੈਲੋਨੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 50 + ਅਬਾਦੀ ਕਵਾਂਟਰ, ਮੁ้ਲੇ ਚੱਕ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 50",Lost Both Times (Deficit),575,INC,65,180,31.3,245,42.61,119,20.7,3,0.52,492,INC,24,130,26.42,154,31.3,91,18.5,73,14.84,-50,-4.88,-11.31,17.98,-5.86,-83,-14.43
18,"Abadi Quarter, Mulle Chowk, Nagar Nigam Amritsar, Ward No. 50","ਅਬਾਦੀ ਕਵਾਟਰ, ਮੁ้ਲੇ ਚੌਕ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 50",Weak Booth (< 20% Share),545,INC,47,174,31.93,221,40.55,118,21.65,4,0.73,478,INC,98,61,12.76,221,46.23,34,7.11,123,25.73,-113,-19.17,5.68,6.38,4.08,-67,-12.29
19,"Gali Chhiura Wali, Nagar Nigam Amritsar Ward No. 48 + Gali Devi Wali, (Jora Pipal) Nagar Nigam Amritsar, Ward No. 48 + Gali Nalke Wali, Nagar Nigam Amritsar, Ward No. 48 + Gali Pehalwana, Nagar Nigam Amritsar, Ward No. 48 + Gali Diwan Singh, Nagar Nigam Amritsar, Ward No. 48 + Gali Chela Ram, Nagar Nigam Amritsar, Ward No. 48","ਗਲੀ ਛਿਉੜਾ ਵਾਲੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ. 48 + ਗਲੀ ਦੇਵੀ ਵਾਲੀ, (ਜੋੜਾ ਪਿੱਪਲ) ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48 + ਗਲੀ ਨਲਕੇ ਵਾਲੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48 + ਗਲੀ ਪਹਿਲਵਾਨਾ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48 + ਗਲੀ ਦੀਵਾਨ ਸਿੰਘ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48 + ਗਲੀ ਚੇਲਾ ਰਾਮ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48",Lost in 2024 (to BJP),565,AAP,143,304,53.81,161,28.5,71,12.57,25,4.42,474,BJP,170,70,14.77,104,21.94,274,57.81,22,4.64,-234,-39.04,-6.56,53.39,-7.93,-91,-16.11
20,"Bazar Bhagtan Wala, Nagar Nigam Amritsar, Ward No. 48 + Gali Shahdin, Nagar Nigam Amritsar, Ward No. 48 + Bazar Gujran Wala, Nagar Nigam Amritsar, Ward No. 48 + Gali Masit Wali, Nagar Nigam Amritsar, Ward No. 48 + Bazar Gujran Chowk Chabutra, Nagar Nigam Amritsar, Ward No. 48 + Kucha Hari Singh, Nagar Nigam Amritsar, Ward No. 48 + Kucha Raiyan Wala, Nagar Nigam Amritsar, Ward No. 48 + Gali Shahdin, Nagar Nigam Amritsar Ward No. 48 + Gali Nati Baksh, Nagar Nigam Amritsar, Ward No. 48","ਬਾਜ਼ਾਰ ਭਗਤਾਂ ਵਾਲਾ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48 + ਗਲੀ ਸ਼ਾਹਦੀਨ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48 + ਬਾਜ਼ਾਰ ਗੁਜਰਾਂ ਵਾਲਾ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48 + ਗਲੀ ਮਸੀਤ ਵਾਲੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48 + ਬਾਜ਼ਾਰ ਗੁਜਰਾਂ ਚੌਂਕ ਚਬੂਤਰਾ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48 + ਕੂਚਾ ਹਰੀ ਸਿੰਘ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48 + ਕੂਚਾ ਰਾਈਆਂ ਵਾਲਾ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48 + ਗਲੀ ਸ਼ਾਹਦੀਨ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ. 48 + ਗਲੀ ਨਤੀ ਬਖਸ਼, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48",Lost in 2024 (to BJP),499,AAP,95,240,48.1,89,17.84,145,29.06,15,3.01,360,BJP,41,59,16.39,91,25.28,132,36.67,70,19.44,-181,-31.71,7.44,33.66,-9.62,-139,-27.86
21,"Kucha Gujran Wala, Nagar Nigam Amritsar, Ward No. 48 + Gali Guru Nanak Wali, Nagar Nigam, Amritsar, Ward No. 48 + Kucha Tahil Singh Circular Road Nagar Nigam Amritsar Ward No. 48 + Gali Sedhiyan, Nagar Nigam Amritsar, Ward No. 46 + Gali Moole Wali, Nagar Nigam Amritsar, Ward No. 46","ਕੂਚਾ ਗੁਜਰਾਂ ਵਾਲਾ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48 + ਗਲੀ ਗੁਰੂ ਨਾਨਕ ਵਾਲੀ, ਨਗਰ ਨਿਗਮ, ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48 + ਕੂਚਾ ਟਹਿਲ ਸਿੰਘ ਸਰਕੂਲਰ ਰੋਡ ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ. 48 + ਗਲੀ ਸੇਢੀਆਂ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 46 + ਗਲੀ ਮੂਲੇ ਵਾਲੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 46",Lost in 2024 (to BJP),540,AAP,149,278,51.48,112,20.74,129,23.89,14,2.59,461,BJP,65,115,24.95,111,24.08,180,39.05,43,9.33,-163,-26.53,3.34,36.46,-14.56,-79,-14.63
22,"Gali Pehalwana Wali Bazar Bhagtan Wala, Nagar Nigam Amritsar, Ward No. 48 + Gali Tind Shah, Nagar Nigam Amritsar, Ward No. 48 + Mohalla Balmiki, Nagar Nigam Amritsar, Ward No. 48 + Mandir Wali Gali, Nagar Nigam Amritsar Ward No. 48 + Gali Dharek Wali, Nagar Nigam Amritsar Ward No. 48","ਗਲੀ ਪਹਿਲਵਾਨਾਂ ਵਾਲੀ ਬਾਜ਼ਾਰ ਭਗਤਾਂ ਵਾਲਾ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48 + ਗਲੀ ਟਿੰਡ ਸ਼ਾਹ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48 + ਮੁਹੱਲਾ ਬਾਲਮੀਕੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48 + ਮੰਦਿਰ ਵਾਲੀ ਗਲੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ. 48 + ਗਲੀ ਧਰੇਕ ਵਾਲੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ. 48",Lost in 2024 (to INC),604,AAP,92,281,46.52,189,31.29,114,18.87,3,0.5,419,INC,107,52,12.41,213,50.84,106,25.3,36,8.59,-229,-34.11,19.55,24.8,-10.28,-185,-30.63
23,"Guru Teg Bahadur Avenue, Nagar Nigam Amritsar, Ward No. 46 + Bazaar Ghumiaran, Nagar Nigam Amritsar, Ward No. 48 + Gali Guru Nanak, Nagar Nigam Amritsar, Ward No. 48 + Gali Krishna, Nagar Nigam Amritsar, Ward No. 48 + Gali Mistra Nagar Nigam Amritsar, Ward No. 48 + Gali Jawala Wali, Nagar Nigam Amritsar, Ward No. 48 + Gali Chappar Wali, Nagar Nigam Amritsar, Ward No. 48 + Bazaar Ghumiaran Wala Near Shivala Behar Wala Chowk, Nagar Nigam Amritsar, Ward No. 48","ਗੁਰੂ ਤੇਗ ਬਹਾਦਰ ਐਵੀਨਿਊ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 46 + ਬਾਜ਼ਾਰ ਘੁਮਿਆਰਾਂ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48 + ਗਲੀ ਗੁਰੂ ਨਾਨਕ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48 + ਗਲੀ ਕ੍ਰਿਸ਼ਨਾ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48 + ਗਲੀ ਮਿਸਤਰਾ ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48 + ਗਲੀ ਜਵਾਲਾ ਵਾਲੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48 + ਗਲੀ ਛੱਪੜ ਵਾਲੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48 + ਬਾਜ਼ਾਰ ਘੁਮਿਆਰਾਂ ਵਾਲਾ ਨੇੜੇ ਸ਼ਿਵਾਲਾ ਬੇਹੜ ਵਾਲਾ ਚੌਕ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48",Lost in 2024 (to BJP),429,AAP,152,252,58.74,100,23.31,69,16.08,6,1.4,353,BJP,11,108,30.59,89,25.21,119,33.71,30,8.5,-144,-28.15,1.9,32.31,-7.58,-76,-17.72
24,"Kucha Rahimshu Khila, Nagar Nigam Amritsar, Ward No. 48 + Androon Gilwali Gate, Nagar Nigam Amritsar, Ward No. 48 + Bazaar Jattan Wala, Nagar Nigam Amritsar, Ward No. 48 + Gali Jameetan Kamboj, Nagar Nigam Amritsar, Ward No. 48 + Gali Aave Wali, Nagar Nigam Amritsar, Ward No. 48","ਕੂਚਾ ਰਹੀਮਸ਼ੁ ਖਿਲਾ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48 + ਅੰਦਰੂਨ ਗਿਲਵਾਲੀ ਗੇਟ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48 + ਬਾਜ਼ਾਰ ਜੱਟਾਂ ਵਾਲਾ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48 + ਗਲੀ ਜਮੀਤਾਂ ਕੰਬੋਜ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48 + ਗਲੀ ਆਵੇ ਵਾਲੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ, ਵਾਰਡ ਨੰ. 48",Won Both Times (Stronghold),570,AAP,243,359,62.98,81,14.21,116,20.35,6,1.05,454,AAP,25,155,34.14,130,28.63,109,24.01,51,11.23,-204,-28.84,14.42,22.96,-9.12,-116,-20.35
25,"Gali Aave Wali, Androon Gate Bhagtanwala, Nagar Nigam Amritsar Ward No. 48 + Gali Megha Katra Garbha Singh, Nagar Nigam Amritsar. Ward No. 48, Amritsar. + Gali Aave Wali Devi, Androon Gate Bhagtanwala, Nagar Nigam Amritsar Ward No. 48 + Gali Rahimuj Bazar Gujra, Nagar Nigam Amritsar. Ward No. 48, Amritsar. + Bazar Gujra Katra Garbha Singh, Nagar Nigam Amritsar Ward No. 48, Amritsar.","ਗਲੀ ਆਵੇ ਵਾਲੀ, ਅੰਦਰੂਨ ਗੇਟ ਭਗਤਾਂਵਾਲਾ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ 48 + ਗਲੀ ਮੇਘਾ ਕਟੜਾ ਗਰਭਾ ਸਿੰਘ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ. ਵਾਰਡ ਨੰ 48, ਅੰਮ੍ਰਿਤਸਰ. + ਗਲੀ ਆਵੇ ਵਾਲੀ ਦੇਵੀ, ਅੰਦਰੂਨ ਗੇਟ ਭਗਤਾਂਵਾਲਾ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ 48 + ਗਲੀ ਰਹਿਮੁਜ ਬਜਾਰ ਗੁਜਰਾ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ. ਵਾਰਡ ਨੰ 48, ਅੰਮ੍ਰਿਤਸਰ. + ਬਾਜਾਰ ਗੁਜਰਾ ਕਟੜਾ ਗਰਭਾ ਸਿੰਘ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ 48, ਅੰਮ੍ਰਿਤਸਰ.",Lost in 2024 (to BJP),700,AAP,111,329,47.0,218,31.14,118,16.86,22,3.14,611,BJP,152,107,17.51,137,22.42,289,47.3,59,9.66,-222,-29.49,-8.72,44.16,-7.2,-89,-12.71
26,"Gali Taliyan Wali, Nagar Nigam Amritsar Ward No. 49 + Bazaar Jora Pippal, Nagar Nigam Amritsar Ward No. 48 + Gali Kamboj Wali, Nagar Nigam Amritsar Ward No. 48 + Bazaar Khooh Berian, Nagar Nigam Amritsar Ward No. 48 + Gali Aadivasian, Nagar Nigam Amritsar Ward No. 48 + Ram Gali, Jora Pippal, Nagar Nigam Amritsar Ward No. 48 + New Dashmesh Avenue Amritsar Ward No. 50","ਗਲੀ ਤਲੀਆਂ ਵਾਲੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ. 49 + ਬਜ਼ਾਰ ਜੋੜਾ ਪਿੱਪਲ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ. 48 + ਗਲੀ ਕੰਬੋਜ ਵਾਲੀ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ. 48 + ਬਜ਼ਾਰ ਖੂਹ ਬੇਰੀਆਂ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ. 48 + ਗਲੀ ਆਦੀਵਾਸੀਆਂ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ. 48 + ਰਾਮ ਗਲੀ, ਜੋੜਾ ਪਿੱਪਲ, ਨਗਰ ਨਿਗਮ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ. 48 + ਨਿਊ ਦਸਮੇਸ਼ ਐਵੀਨਿਊ ਅੰਮ੍ਰਿਤਸਰ ਵਾਰਡ ਨੰ. 50",Lost in 2024 (to BJP),621,AAP,250,373,60.06,123,19.81,96,15.46,18,2.9,539,BJP,139,129,23.93,97,18.0,268,49.72,34,6.31,-244,-36.13,-1.81,46.82,-9.15,-82,-13.2
